Award,Nominee,Position,Team,Winner
"AP Most Valuable Player","Patrick Mahomes","QB","Kansas City Chiefs","Yes"
"AP Most Valuable Player","Jalen Hurts","QB","Philadelphia Eagles","No"
"AP Most Valuable Player","Josh Allen","QB","Buffalo Bills","No"
"AP Most Valuable Player","Joe Burrow","QB","Cincinnati Bengals","No"
"AP Most Valuable Player","Justin Jefferson","WR","Minnesota Vikings","No"
"AP Coach of the Year","Brian Daboll","HC","New York Giants","Yes"
"AP Coach of the Year","Kyle Shanahan","HC","San Francisco 49ers","No"
"AP Coach of the Year","Doug Pederson","HC","Jacksonville Jaguars","No"
"AP Coach of the Year","Sean McDermott","HC","Buffalo Bills","No"
"AP Coach of the Year","Nick Sirianni","HC","Philadelphia Eagles","No"
"AP Assistant Coach of the Year","DeMeco Ryans","DC","San Francisco 49ers","Yes"
"AP Assistant Coach of the Year","Ben Johnson","OC","Detroit Lions","No"
"AP Assistant Coach of the Year","Shane Steichen","OC","Philadelphia Eagles","No"
"AP Offensive Player of the Year","Justin Jefferson","WR","Minnesota Vikings","Yes"
"AP Offensive Player of the Year","Patrick Mahomes","QB","Kansas City Chiefs","No"
"AP Offensive Player of the Year","Jalen Hurts","QB","Philadelphia Eagles","No"
"AP Offensive Player of the Year","Tyreek Hill","WR","Miami Dolphins","No"
"AP Defensive Player of the Year","Nick Bosa","DE","San Francisco 49ers","Yes"
"AP Defensive Player of the Year","Micah Parsons","LB","Dallas Cowboys","No"
"AP Defensive Player of the Year","Chris Jones","DT","Kansas City Chiefs","No"
"AP Offensive Rookie of the Year","Garrett Wilson","WR","New York Jets","Yes"
"AP Offensive Rookie of the Year","Kenneth Walker III","RB","Seattle Seahawks","No"
"AP Offensive Rookie of the Year","Brock Purdy","QB","San Francisco 49ers","No"
"AP Defensive Rookie of the Year","Sauce Gardner","CB","New York Jets","Yes"
"AP Defensive Rookie of the Year","Aidan Hutchinson","DE","Detroit Lions","No"
"AP Defensive Rookie of the Year","Tariq Woolen","CB","Seattle Seahawks","No"
"AP Comeback Player of the Year","Geno Smith","QB","Seattle Seahawks","Yes"
"AP Comeback Player of the Year","Christian McCaffrey","RB","San Francisco 49ers","No"
"AP Comeback Player of the Year","Saquon Barkley","RB","New York Giants","No"
"Walter Payton NFL Man of the Year","Dak Prescott","QB","Dallas Cowboys","Yes"
"Salute to Service Award","Ron Rivera","HC","Washington Commanders","Yes"
"FedEx Air Player of the Year","Joe Burrow","QB","Cincinnati Bengals","Yes"
"FedEx Air Player of the Year","Patrick Mahomes","QB","Kansas City Chiefs","No"
"FedEx Air Player of the Year","Josh Allen","QB","Buffalo Bills","No"
"FedEx Ground Player of the Year","Josh Jacobs","RB","Las Vegas Raiders","Yes"
"FedEx Ground Player of the Year","Nick Chubb","RB","Cleveland Browns","No"
"FedEx Ground Player of the Year","Saquon Barkley","RB","New York Giants","No"
"Bud Light Celly of the Year","Cincinnati Bengals roller-coaster celebration","Team","Cincinnati Bengals","Yes"
"Deacon Jones Award","Nick Bosa","DE","San Francisco 49ers","Yes"
"Jim Brown Award","Josh Jacobs","RB","Las Vegas Raiders","Yes"
"Art Rooney Sportsmanship Award","Calais Campbell","DE","Baltimore Ravens","Yes"
"Next Gen Stats Moment of the Year","Justin Jefferson catch against the Bills","WR","Minnesota Vikings","Yes"
"NFL Fan of the Year","Larry Bevans","Fan","Seattle Seahawks","Yes"
"Pepsi NFL Rookie of the Year","Garrett Wilson","WR","New York Jets","Yes"
"Pepsi NFL Rookie of the Year","Brock Purdy","QB","San Francisco 49ers","No"
"Pepsi NFL Rookie of the Year","Kenneth Walker III","RB","Seattle Seahawks","No"
"Pepsi NFL Rookie of the Year","Chris Olave","WR","New Orleans Saints","No"
"Pepsi NFL Rookie of the Year","Dameon Pierce","RB","Houston Texans","No"
"Pepsi NFL Rookie of the Year","Sauce Gardner","CB","New York Jets","No" 
"Pro Football Hall of Fame Class of 2023","Joe Thomas","OT","Cleveland Browns","Yes"
"Pro Football Hall of Fame Class of 2023","Darrelle Revis","CB","New York Jets","Yes"
"Pro Football Hall of Fame Class of 2023","DeMarcus Ware","LB","Dallas Cowboys","Yes"
"Pro Football Hall of Fame Class of 2023","Ronde Barber","CB","Tampa Bay Buccaneers","Yes"
"Pro Football Hall of Fame Class of 2023","Zach Thomas","LB","Miami Dolphins","Yes"
"Pro Football Hall of Fame Class of 2023","Don Coryell","Coach","San Diego Chargers","Yes"
"Pro Football Hall of Fame Class of 2023","Chuck Howley","LB","Dallas Cowboys","Yes"
"Pro Football Hall of Fame Class of 2023","Joe Klecko","DL","New York Jets","Yes"
"Pro Football Hall of Fame Class of 2023","Ken Riley","CB","Cincinnati Bengals","Yes"
